Hip angle from the stand-up ramp through the hold, per cycle.
t is seconds relative to hold_t0 (when the runner's demo poll returned).
Commanded stance hip = +20.87 deg. nan = implausible read, dropped.

=== cycle 1 ===
  t_rel L0      L1      L2      L3      L4      L5     
  12.50 18.19   20.30   20.48   18.02   20.92   19.78  
  12.92 18.19   20.30   20.48   18.02   20.92   19.78  
  13.43 18.19   20.30   20.48   18.02   20.92   19.78  
  13.95 18.19   20.30   20.48   18.02   20.92   19.78  
  14.33 18.19   20.30   20.48   18.02   20.92   19.78  
  14.86 18.19   20.30   20.48   18.02   20.92   19.78  
  15.11 18.19   20.30   20.48   18.02   20.92   19.78  
  15.40 18.19   20.30   20.48   18.02   20.92   19.78  
  15.87 18.19   20.30   20.48   18.02   20.92   19.78  
  16.39 18.19   20.30   20.48   18.02   20.92   19.78  
  16.92 18.19   20.30   20.48   18.02   20.92   19.78  

=== cycle 2 ===
  t_rel L0      L1      L2      L3      L4      L5     
 -29.52 -0.09   -0.09   0.18    -0.09   0.09    0.18   
 -29.30 -0.09   -0.09   0.18    -0.09   0.09    0.18   
 -29.02 -0.09   -0.09   0.18    -0.09   0.09    0.18   
 -28.64 -0.09   -0.09   0.18    -0.09   0.09    0.18   
 -28.09 -0.09   -0.09   0.18    -0.09   0.09    0.18   
 -27.58 -0.09   -0.09   0.18    -0.09   0.09    0.18   
 -27.13 -0.09   -0.09   0.18    -0.09   0.09    0.18   
 -26.56 -0.09   -0.09   0.18    -0.09   0.09    0.18   
 -26.29 -0.09   -0.09   0.18    -0.09   0.09    0.18   
 -25.92 -0.09   -0.09   0.18    -0.09   0.09    0.18   
 -25.61 -0.09   -0.09   0.18    -0.09   0.09    0.18   
 -25.03 -0.09   -0.09   0.18    -0.09   nan     0.18   
 -24.52 -0.09   -0.09   0.18    -0.09   0.09    0.18   
 -24.09 -0.09   -0.09   0.18    -0.09   0.09    0.18   
 -23.57 -0.09   -0.09   0.18    -0.09   0.09    0.18   
 -23.27 -0.09   -0.09   0.18    -0.09   0.09    0.18   
 -23.08 -0.09   -0.09   0.18    -0.09   0.09    0.18   
 -22.55 -0.09   -0.09   0.18    -0.09   0.09    0.18   
 -22.42 -0.09   -0.09   0.18    -0.09   0.09    0.18   
 -21.52 -54.05  -0.09   -56.25  -0.09   -55.72  0.18   
 -21.02 -67.68  -7.03   -66.71  -7.29   -66.45  -7.73  
 -20.50 -64.86  -56.69  -64.78  -56.78  -64.60  -56.69 
 -20.26 -64.86  -69.43  -64.78  -69.70  -64.60  -69.52 
 -20.12 -63.90  -68.38  -62.58  -68.91  -62.58  -68.82 
 -19.63 -6.42   -5.10   -1.49   -6.24   nan     -5.36  
 -19.09 22.68   25.75   22.94   23.91   22.94   25.31  
 -18.63 20.57   21.97   21.01   20.21   21.01   21.27  
 -18.03 20.48   21.97   21.01   20.21   21.01   21.18  
 -17.61 20.48   21.97   21.01   20.21   21.01   21.18  
 -17.04 20.48   21.80   21.01   20.21   21.01   21.18  
 -16.48 20.48   21.80   20.92   20.21   21.01   21.18  
 -16.10 20.48   21.80   21.01   20.21   21.01   21.18  
 -15.60 20.48   21.80   20.92   20.21   21.01   21.18  
 -15.25 20.48   21.80   21.01   20.21   21.01   21.18  
 -15.08 20.48   21.80   21.01   20.21   21.01   21.18  
 -14.58 20.48   21.80   20.92   20.21   21.09   21.18  
 -14.06 20.48   21.80   20.92   20.21   21.09   21.18  
 -13.56 20.48   21.80   21.01   20.21   21.09   21.18  
 -13.04 20.48   21.80   21.01   20.21   21.09   21.18  
 -12.54 20.48   nan     21.01   20.21   21.09   21.18  
 -12.23 20.48   21.80   21.01   20.21   21.09   21.18  
 -12.01 20.48   21.80   21.01   20.21   21.09   21.18  
 -11.56 20.48   21.80   21.01   20.21   21.09   21.18  
 -11.00 20.48   21.80   21.01   20.21   21.09   21.18  
 -10.54 20.48   21.80   20.92   20.21   21.09   21.18  
  -9.99 20.48   21.80   20.92   20.21   21.09   21.18  
  -9.49 20.48   21.80   20.92   20.21   21.09   21.18  
  -9.22 20.48   21.80   21.01   20.21   21.09   21.18  
  -8.97 20.48   21.80   21.01   20.21   21.09   21.18  
  -8.53 20.48   21.80   20.92   20.21   21.09   21.18  
  -8.08 nan     21.80   21.01   20.21   21.09   21.18  
  -7.52 20.48   21.80   21.01   20.21   21.09   21.18  
  -7.11 20.48   21.80   20.92   20.21   21.09   21.18  
  -6.59 20.48   21.80   20.92   20.21   21.09   21.18  
  -6.21 20.48   21.80   21.01   20.21   21.09   21.18  
  -6.07 20.48   21.80   20.92   20.21   nan     21.18  
  -5.62 20.48   21.80   20.92   20.21   21.09   21.18  
  -5.12 20.48   21.80   20.92   20.21   21.09   21.18  
  -4.52 20.48   21.80   21.01   20.21   21.09   21.18  
  -4.12 20.48   21.80   21.01   20.21   21.09   21.18  
  -3.64 20.48   21.80   21.01   20.21   21.09   21.18  
  -3.19 20.48   21.80   21.01   20.21   21.09   21.18  
  -3.12 20.48   21.80   21.01   20.21   21.09   21.18  
  -2.60 20.48   21.80   21.01   20.21   21.09   21.18  
  -2.07 20.48   21.80   21.01   20.21   21.09   21.18  
  -1.58 20.48   21.80   21.01   20.21   21.09   21.18  
  -1.04 20.48   21.80   21.01   20.21   21.09   21.18  
  -0.55 20.48   21.80   21.01   20.21   21.09   21.18  
  -0.18 20.48   21.80   21.01   20.21   21.09   21.18  
  -0.00 20.48   21.80   21.01   20.21   21.09   21.18  
   0.48 20.48   21.80   21.01   20.21   21.09   21.18  
   1.00 20.48   21.80   21.01   20.21   21.09   21.18  
   1.36 20.48   21.80   21.01   20.21   21.09   21.18  
   1.93 20.48   21.80   21.01   20.21   21.09   21.18  
   2.41 20.48   21.80   21.01   20.21   21.09   21.18  
   2.83 20.48   21.80   21.01   20.21   21.09   21.18  
   2.93 20.48   21.80   21.01   20.21   21.09   21.18  
   3.44 20.48   21.80   21.01   20.21   21.09   21.18  
   3.90 20.48   21.80   21.01   20.21   21.09   21.18  
   4.37 20.48   21.80   21.01   20.21   21.09   21.18  
   4.99 20.48   21.80   21.01   20.21   21.09   21.18  
   5.38 20.48   21.80   21.01   20.21   21.09   21.18  
   5.84 20.48   21.80   21.01   20.21   21.09   21.18  
   5.91 20.48   21.80   21.01   20.21   21.09   21.18  
   6.41 20.48   21.80   21.01   20.21   21.09   21.18  
   6.92 20.48   21.80   21.01   20.21   21.09   21.18  
   7.44 20.48   21.80   21.01   20.21   21.09   21.18  
   8.02 20.48   21.80   21.01   20.21   21.09   21.18  
   8.46 20.48   21.80   21.01   20.21   21.09   21.18  
   8.86 20.48   21.80   21.01   20.21   21.09   21.18  
   8.97 20.48   21.80   21.01   20.21   21.09   21.18  
   9.48 20.48   21.80   21.01   20.21   21.09   21.18  
  10.01 20.48   21.80   21.01   20.21   21.09   21.18  
  10.09 20.48   21.80   21.01   20.21   21.09   21.18  
  10.53 20.48   21.80   21.01   20.21   21.09   21.18  
  10.96 20.48   21.80   21.01   20.21   21.09   21.18  
  11.48 20.48   21.80   21.01   20.21   21.09   21.18  
  11.87 20.48   21.80   21.01   20.21   nan     21.18  
  12.02 20.48   21.80   21.01   20.21   21.09   21.18  
  12.54 20.48   nan     21.01   20.21   21.09   21.18  
  13.07 20.48   21.80   21.01   20.21   21.09   21.18  
  13.67 20.48   21.80   21.01   20.21   21.09   21.18  
  13.91 20.48   21.80   21.01   20.21   21.09   21.18  
  14.40 20.48   21.80   21.01   20.21   21.09   21.18  
  14.88 20.48   21.80   21.01   20.21   21.09   21.18  
  14.91 20.48   21.80   21.01   20.21   21.09   21.18  
  15.36 20.48   21.80   21.01   20.21   21.09   21.18  
  15.95 20.48   21.80   21.01   20.21   21.09   21.18  
  16.45 20.48   21.80   21.01   20.21   21.09   21.18  
  16.90 20.48   21.80   21.01   20.21   21.09   21.18  

=== cycle 3 ===
  t_rel L0      L1      L2      L3      L4      L5     
 -29.59 -0.09   -0.09   0.00    -0.18   -0.09   0.09   
 -29.04 -0.09   -0.09   0.00    -0.18   -0.09   0.09   
 -28.66 -0.09   -0.09   0.00    -0.18   -0.09   0.09   
 -28.21 -0.09   -0.09   0.00    -0.18   -0.09   0.09   
 -27.73 -0.09   -0.09   0.00    -0.18   -0.09   0.09   
 -27.42 -0.09   -0.09   0.00    -0.18   -0.09   0.09   
 -27.18 -0.09   -0.09   0.00    -0.18   -0.09   0.09   
 -26.71 -0.09   -0.09   0.00    -0.18   -0.09   0.09   
 -26.16 -0.09   -0.09   0.00    -0.18   -0.09   0.09   
 -25.73 -0.09   -0.09   0.00    -0.18   -0.09   0.09   
 -25.24 -0.09   -0.09   0.00    -0.18   -0.09   0.09   
 -24.71 -0.09   -0.09   0.00    -0.18   -0.09   0.09   
 -24.41 -0.09   -0.09   0.00    -0.18   -0.09   0.09   
 -24.22 -0.09   -0.09   0.00    -0.18   -0.09   0.09   
 -23.70 -0.09   -0.09   0.00    -0.18   -0.09   0.09   
 -23.19 -0.09   -0.09   0.00    -0.18   -0.09   0.09   
 -22.68 -0.09   -0.09   0.00    -0.18   -0.09   0.09   
 -22.66 -0.09   -0.09   0.00    -0.18   -0.09   0.09   
 -21.63 -64.25  -0.09   -65.30  -0.09   -65.30  0.09   
 -21.13 -65.04  -19.51  -64.78  -20.04  -64.69  -19.69 
 -20.64 -64.42  -63.81  -64.78  -63.90  -64.69  -63.90 
 -19.63 14.68   15.56   17.14   15.73   17.49   16.26  
 -19.11 20.04   21.53   20.92   22.06   21.09   21.27  
 -18.73 21.45   21.53   20.92   20.04   21.01   20.92  
 -18.17 21.53   21.53   21.01   20.83   20.92   20.83  
 -17.65 21.45   21.53   20.92   21.09   20.92   20.83  
 -17.24 21.45   21.53   20.92   21.09   20.92   20.83  
 -16.71 21.45   21.53   20.92   21.09   20.92   20.83  
 -16.37 21.45   21.53   20.92   21.09   20.92   20.83  
 -16.12 21.45   21.53   21.01   21.09   20.92   20.83  
 -15.71 21.45   21.53   20.92   21.09   20.92   20.83  
 -15.20 21.45   21.53   20.92   21.09   20.92   20.83  
 -14.54 21.45   21.53   21.01   21.09   20.92   20.83  
 -14.22 21.45   21.53   20.92   21.09   20.92   20.83  
 -13.67 21.45   21.53   21.01   21.09   20.92   20.83  
 -13.36 21.45   21.53   21.01   21.09   20.92   20.83  
 -13.15 21.45   21.53   21.01   21.09   20.92   20.83  
 -12.73 21.45   21.53   21.01   21.09   20.92   20.83  
 -12.12 21.45   21.53   20.92   21.09   20.92   20.83  
 -11.71 21.45   21.53   20.92   21.09   20.92   20.83  
 -11.21 21.45   21.53   21.01   21.09   20.92   20.83  
 -10.70 21.45   21.53   20.92   21.09   20.92   20.83  
 -10.35 21.45   21.53   20.92   21.09   20.92   20.83  
 -10.08 21.45   21.53   21.01   21.09   20.92   20.83  
  -9.57 21.45   21.53   21.01   21.09   20.92   20.83  
  -9.14 21.45   21.53   20.92   21.09   20.92   20.83  
  -8.72 21.45   21.53   21.01   21.09   20.92   20.83  
  -8.24 21.45   21.53   21.01   21.09   20.92   20.83  
  -7.55 21.45   21.53   20.92   21.09   20.92   20.83  
  -7.33 21.45   21.53   21.01   21.09   20.92   20.83  
  -7.23 21.45   21.53   21.01   21.09   20.92   20.83  
  -6.43 21.45   21.53   21.01   21.09   20.92   20.83  
  -6.19 21.45   21.53   21.01   21.09   20.92   20.83  
  -5.32 21.45   21.53   nan     21.09   20.92   20.83  
  -5.10 21.45   21.53   21.01   21.09   20.92   20.83  
  -4.66 21.45   21.53   21.01   21.09   20.92   20.83  
  -4.32 21.45   nan     20.92   21.09   20.92   20.83  
  -4.05 21.45   21.53   21.01   21.09   20.92   20.83  
  -3.54 21.45   21.53   21.01   21.09   20.92   20.83  
  -3.14 21.45   21.53   21.01   21.09   20.92   20.83  
